0x87FF2A Spring_Frost
0x00FF7F Spring_green
0xECEBBD Spring_green_(Crayola)
0x007BB8 Star_command_blue
0x4682B4 Steel_blue
0xCC33CC Steel_pink
0x5F8A8B Steel_Teal
0xFADA5E Stil_de_grain_yellow
0xE4D96F Straw
0xFA5053 Strawberry
0xff9361 Strawberry_Blonde
0x914E75 Sugar_Plum
0xFFCC33 Sunglow
0xE3AB57 Sunray
0xFAD6A5 Sunset
0xCF6BA9 Super_pink
0xA83731 Sweet_Brown
0xD44500 Syracuse_Orange
0xD2B48C Tan
0xD99A6C Tan_(Crayola)
0xF28500 Tangerine
0xE4717A Tango_pink
0xFB4D46 Tart_Orange
0x483C32 Taupe
0x8B8589 Taupe_gray
0xD0F0C0 Tea_green
0xF88379 Tea_rose
0xF4C2C2 Tea_rose
0x008080 Teal
0x367588 Teal_blue
0xCF3476 Telemagenta
0xCD5700 Tenné_(tawny)
0xE2725B Terra_cotta
0xD8BFD8 Thistle
0xDE6FA1 Thulian_pink
0xFC89AC Tickle_Me_Pink
0x0ABAB5 Tiffany_Blue
0xDBD7D2 Timberwolf
0xEEE600 Titanium_yellow
0xFF6347 Tomato
0x00755E Tropical_rainforest
0x2D68C4 True_Blue
0x1C05B3 Trypan_Blue
0x3E8EDE Tufts_blue
0xDEAA88 Tumbleweed
0x40E0D0 Turquoise
0x00FFEF Turquoise_blue
0xA0D6B4 Turquoise_green
0x8A9A5B Turtle_green
0xFAD6A5 Tuscan
0x6F4E37 Tuscan_brown
0x7C4848 Tuscan_red
0xA67B5B Tuscan_tan
0xC09999 Tuscany
0x8A496B Twilight_lavender
0x66023C Tyrian_purple
0x0033AA UA_blue
0xD9004C UA_red
0x3F00FF Ultramarine
0x4166F5 Ultramarine_blue
0xFF6FFF Ultra_pink
0xFC6C85 Ultra_red
0x635147 Umber
0xFFDDCA Unbleached_silk
0x5B92E5 United_Nations_blue
0xA50021 University_of_Pennsylvania_red
0xFFFF66 Unmellow_yellow
0x014421 UP_Forest_green
0x7B1113 UP_maroon
0xAE2029 Upsdell_red
0xAFDBF5 Uranian_blue
0x004F98 USAFA_blue
0x664228 Van_Dyke_brown
0xF3E5AB Vanilla
0xF38FA9 Vanilla_ice
0xC5B358 Vegas_gold
0xC80815 Venetian_red
0x43B3AE Verdigris
0xE34234 Vermilion
0xD9381E Vermilion
0xA020F0 Veronica
0x8F00FF Violet
0x7F00FF Violet_(color_wheel)
0x963D7F Violet_(crayola)
0x8601AF Violet_(RYB)
0xEE82EE Violet_(web)
0x324AB2 Violet-blue
0x766EC8 Violet-blue_(Crayola)
0xF75394 Violet-red
0x40826D Viridian
0x009698 Viridian_green
0x9F1D35 Vivid_burgundy
0x00CCFF Vivid_sky_blue
0xFFA089 Vivid_tangerine
0x9F00FF Vivid_violet
0xCEFF00 Volt
0x004242 Warm_black
0xF5DEB3 Wheat
0xFFFFFF White
0xA2ADD0 Wild_blue_yonder
0xD470A2 Wild_orchid
0xFF43A4 Wild_Strawberry
0xFC6C85 Wild_watermelon
0xA75502 Windsor_tan
0x722F37 Wine
0x673147 Wine_dregs
0xFF007C Winter_Sky
0x56887D Wintergreen_Dream
0xC9A0DC Wisteria
0xC19A6B Wood_brown
0x738678 Xanadu
0xEEED09 Xanthic
